Publication Date,Continental Certificates,,,,,,,,,,
,pounds,bid shillings,pennies,pounds,ask shillings,pennies,bid dollars,ask dollars,,,
5/15/1786,,,,,2,8,0,35.56,,,
7/31/1786,,7,6,,8,4,100.00,111.11,,,
8/5/1786,,7,6,,8,1,100.00,107.78,,,
8/12/1786,,2,9,,3,0,36.67,40.00,,,
9/30/1786,,2,9,,4,,36.67,53.33,,,
1/19/1786,,2,4,,2,9,31.11,36.67,,,
1/23/1788,,2,4,,2,9,31.11,36.67,,,
1/26/1788,,2,4,,2,9,31.11,36.67,,,
3/28/1788,,3,3,,3,4,43.33,44.44,,,
4/19/1788,,2,8,,3,2,35.56,42.22,,,
4/19/1788,,2,8,,3,2,35.56,42.22,,,
5/26/1788,,2,8,,3,2,35.56,42.22,,,
6/30/1788,,4,,,4,2,53.33,55.56,,,
10/3/1788,,4,,,4,6,53.33,60.00,,,
8/30/1788,,4,,,4,6,53.33,60.00,,,
9/27/1788,,4,,,4,6,53.33,60.00,,,
10/25/1788,,4,,,4,6,53.33,60.00,,,
11/28/1788,,4,,,4,6,53.33,60.00,,,
11/29/1788,,3,9,,4,,50.00,53.33,,,
12/27/1788,,3,9,,4,,50.00,53.33,,,
1/2/1789,,4,2,,4,2,55.56,55.56,,,
1/9/1789,,4,2,,4,2,55.56,55.56,,,
1/31/1789,,,,,4,2,0.00,55.56,,,
2/29/1789,,,,,4,2,0.00,55.56,,,
3/31/1789,,,,,4,2,0.00,55.56,,,
4/30/1789,,4,8,,4,9,62.22,63.33,,,
5/30/1789,,4,8,,5,,62.22,66.67,,,
7/31/1789,,4,8,,4,9,62.22,63.33,,,
9/30/1789,,4,8,,4,9,62.22,63.33,,,
11/30/1789,,6,6,,7,6,86.67,100.00,,,
10/31/1789,,5,2,,5,4,68.89,71.11,,,
12/31/1789,,8,4,,9,6,111.11,126.67,,,
,,,,,,,,,,,
